molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4
2422570,100.0,%,Inhibition,CHEMBL4552142,COc1nc2ccc(C(O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,100.0,,,,
2426338,87.0,%,Inhibition,CHEMBL4555910,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(n2cccn2)CC1,87.0,,,,
2427166,90.5,%,Inhibition,CHEMBL4556738,COc1nc2ccc([C@@](O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,85.0,96.0,,,
2430011,93.0,%,Inhibition,CHEMBL4559583,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1C,93.0,,,,
2438914,86.0,%,Inhibition,CHEMBL4568486,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCC1CC1(F)F,86.0,,,,
2442352,14.0,%,Inhibition,CHEMBL4571921,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(F)CC1,14.0,,,,
2445787,96.5,%,Inhibition,CHEMBL4575356,COc1nc2ccc(C(O)(c3cnc(C)n3C)c3cnc(C)n3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,96.0,97.0,,,
2454566,87.0,%,Inhibition,CHEMBL4584135,COc1nc2ccc(C(O)(c3cnc(C)n3C)C3CCOCC3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,87.0,,,,
2458962,99.0,%,Inhibition,CHEMBL4588531,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,99.0,,,,
2459719,-80.0,%,Inhibition,CHEMBL4589288,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCc1nccs1,-80.0,,,,
