coms_canonical_smiles,act_median_expert_0,class_activity_median_expert_1000_0
Cc1c2c(cc3c(C(F)(F)F)cc(Br)nc13)C(C)CC(C)(C)N2,785.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(F)nc3cc2N1,22.0,1
CSc1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,751.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(C#N)nc3cc2N1,9.0,1
CC1(C)CCc2cc3c(C(F)(F)F)ccnc3cc2N1,212.0,1
Cc1c2c(cc3c(C(F)(F)F)ccnc13)C(C)CC(C)(C)N2,244.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(NS(C)(=O)=O)nc3cc2N1,503.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(N)nc3cc2N1,1159.0,0
COc1ccc(CNc2cc(C(F)(F)F)c3cc4c(cc3n2)NC(C)(C)CC4)cc1,3217.0,0
C[S+]([O-])c1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,63.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(SCC(F)(F)F)nc3cc2N1,889.0,1
CN1c2cc3nccc(C(F)(F)F)c3cc2CCC1(C)C,725.0,1
CN1c2cc3nc(Br)cc(C(F)(F)F)c3cc2CCC1(C)C,72.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(S(C)(=O)=O)nc3cc2N1,479.0,1
CN1c2cc3nc(F)cc(C(F)(F)F)c3cc2CCC1(C)C,172.0,1
CN1c2cc3nc(Cl)cc(C(F)(F)F)c3cc2CCC1(C)C,251.0,1
CCCC[S+]([O-])c1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,335.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(C(F)(F)F)nc3cc2N1,467.0,1
CN(C)c1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,10000.0,0
CCCCSc1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,1866.0,0
CC1=CC(C)(C)N(C)c2cc3nc(Cl)cc(C(F)(F)F)c3cc21,336.0,1
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,1600000.0,0
CC1(C)CCc2cc3c(C(F)(F)F)cc(N(S(C)(=O)=O)S(C)(=O)=O)nc3cc2N1,636.0,1
Cc1c2c(cc3c(C(F)(F)F)cc(F)nc13)C(C)CC(C)(C)N2,1448.0,0
CNc1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,10000.0,0
CN1c2cc3nc(C#N)cc(C(F)(F)F)c3cc2CCC1(C)C,45.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cc(F)ccc1F)Oc1ccccc1-3,1600.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccccc1-3,650.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccc(F)c(F)c1)Oc1ccccc1-3,916.0,1
CC1(C)OC(=O)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,1292.0,0
CC1(C)OC(=O)Nc2ccc(-c3ccc(F)c(Cl)c3)cc21,207.0,1
CC1(C)OC(=O)Nc2ccc(-c3coc(C#N)c3)cc21,129.0,1
CC1(C)OC(=O)Nc2ccc(-c3csc(C#N)c3)cc21,280.0,1
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,23.0,1
O=c1cc(-c2ccccc2O)oc2ccccc12,1000.0,0
COc1cccc2oc(-c3ccc(F)cc3)cc(=O)c12,1615.905,0
CC(=O)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C(F)(F)C(F)(F)F)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,54.0,1
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,2800.0,0
Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)N1CCCC1(C)CC3,27.0,1
Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NC1(CCCCC1)CC3,35.0,1
Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC(C)(C)CC3,36.0,1
Cc1c2c(cc3c(C(F)(F)F)cc(=O)n(C)c13)C(C)CC(C)(C)N2,31.0,1
CC1=CC(C)(C)Nc2c1cc1c(C(F)(F)F)cc(=O)n(C)c1c2C,2413.0,0
CC1(C)C=Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,42.5,1
C[C@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC(C)(C)[C@H]1C,164.0,1
CC1=C(C)C(C)(C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,68.0,1
CCC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,23.0,1
CCC1(CC)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,27.0,1
CC12CCCN1c1cc3nc(O)cc(C(F)(F)F)c3cc1CC2,325.0,1
CC1CC(C)(C)Nc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,73.0,1
Cc1c2c(cc3c(C(F)(F)F)cc(O)nc13)C(C)CC(C)(C)N2,22.0,1
