smiles molregno
CC(C)(O)CNC(=O)c1nc(CC2CCCCC2)c(-c2ccc(S(=O)(=O)NC3(C#N)CC3)c3ccccc23)s1 2259953
CC[C@H](NC(=O)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C2(C)CC2)c1)C(F)(F)F 2261481
[2H]C([2H])([2H])N(C(=O)c1c(C)cccc1F)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1 1955013
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC=O)nn2C(C)C)cc1N1CC2CC2C1 1955015
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)CC)nn2C(C)C)cc1N1CC2CC2C1 1955016
CC(=O)Nc1cc(-c2ccc(N(C)C(=O)c3c(F)cccc3Cl)c(N3CC4CC4C3)c2)n(C(C)C)n1 1955011
COc1ccc2c(c1)CCN(C(=O)CCCC(N)=O)[C@H]2C(=O)Nc1cc(F)c([Si](C)(C)C)c(F)c1 2281406
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3ccccc32)cc1O 2361029
O=S1(=O)[C@H](c2ccccc2)CCCCN1Cc1cc(F)c(N2C[C@H]3[C@H](n4cnnc4)[C@H]3C2)cc1F 1971879
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)C3CC3)nn2C(C)C)cc1N1CC2CC2C1 1955017
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(C(F)(F)F)cc3)c2)cc1 1614425
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(-c3ccno3)c2)cc1 1960266
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(C)c2)cc1 1960262
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3Cl)c(Cl)c2)cc1 1960254
CS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1 1960271
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CC34CCOCC4)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F 2471625
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2CCCC2)cc1N1CC2CC2C1 1955030
COc1nc2ccc(C(O)(c3cc(C)nc(C)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1 2348296
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2CCC2)cc1N1CC2CC2C1 1955031
