molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4
2177682,66.0,nM,Kd,CHEMBL3968311,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(N3CCCC3)c(Oc3ccc(C#N)cc3)c(Cl)c2c1,66.0,,,,
2177974,27.166666666666668,nM,Kd,CHEMBL3968603,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,5.0,8.0,70.0,,
2178045,2.8,nM,Kd,CHEMBL3968674,COc1ccc(C(O)(c2ccc3nc(OC)c(Cc4ccc(-n5cccn5)cc4)c(Cl)c3c2)c2cncn2C)cn1,2.8,,,,
2178279,1500.0,nM,Kd,CHEMBL3968908,CCC(O)(c1ccc2nc(OC)c(Cc3ccc(S(C)(=O)=O)cc3)c(Cl)c2c1)c1cncn1C,1500.0,,,,
2178814,14.52,nM,Kd,CHEMBL3969443,Cc1ccc(C(O)(c2ccc3nc(C#N)c(Cc4ccc(C(F)(F)F)cc4)c(C#N)c3c2)c2cnnn2C)c(C)n1,0.04,29.0,,,
2179184,1900.0,nM,Kd,CHEMBL3969813,COc1ccc(Cc2cc3cc(C(O)(c4cncs4)c4cncn4C)ccc3nc2Cl)cc1,1900.0,,,,
2179766,4375.0,nM,Kd,CHEMBL3970395,CCN(CC)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,150.0,8600.0,,,
2179909,8550.0,nM,Kd,CHEMBL3970538,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(C#N)c(Cc3ccc(-n4cccn4)cc3)cc2c1,1100.0,16000.0,,,
2181156,100.0,nM,Kd,CHEMBL3971785,CCN(CC)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(C(F)(F)F)c1Oc1ccc(Cl)cc1,100.0,,,,
2181591,24.8,nM,Kd,CHEMBL3972220,COc1nc2ccc(C(O)(c3cncn3C)C3CCN(C(C)=O)CC3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,18.0,20.0,33.0,,
2182751,76.43333333333334,nM,Kd,CHEMBL3973380,CCN(CC)c1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,8.3,51.0,170.0,,
