canonical_smiles_get_levels;IC50_nM
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3)s2)cc1;12.59
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(C#N)c3)c(C(=O)c3ccccc3)s2)cc1;15.85
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1;8.0
CCCN(Cc1ccc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)cc1)Cc1ccc(-c2ccccc2)cc1;35.0
CCCN(CCc1ccc(C(F)(F)F)cc1)c1ccc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)cc1;79.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(NCCc3ccc(C(F)(F)F)cc3)c(Cl)c2)cc1;16.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(C(F)(F)F)cc3)c2)cc1;5.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccccc3)c2)cc1;3.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(F)cc3)c2)cc1;8.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(Cl)cc3)c2)cc1;4.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(C#N)cc3)c2)cc1;6.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(OC(C)C)cc3)c2)cc1;6.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccccc3C(F)(F)F)c2)cc1;6.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3cccc(C(F)(F)F)c3)c2)cc1;4.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(Cl)cc3Cl)c2)cc1;6.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(Cl)c(Cl)c3)c2)cc1;6.0
CCCN(Cc1ccc(CC)cc1)Cc1ccc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)cc1;13.0
CCCN(Cc1ccc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)cc1)Cc1ccc(C(F)(F)F)cc1;15.5
CCCN(Cc1ccc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)cc1)Cc1ccc(OC2CCCC2)cc1;26.0
CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(C(C)=O)c4)ccc1c23;25.0
CC(C)CN(Cc1ccc(-c2ccc(NS(C)(=O)=O)cc2)s1)S(=O)(=O)Cc1ccccc1;51.0
CC(C)CN(Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1;32.0
CC(C)CN(Cc1ccc(-c2ccc(NS(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1;46.0
CC(C)CN(Cc1ccc(-c2ccc(C(N)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1;33.0
CC(C)CN(Cc1ccc(-c2cccc(CC(N)=O)c2)cc1)S(=O)(=O)Cc1ccccc1;91.0
Cc1cc(CN2CCN(Cc3ccncc3)CC2)ccc1-c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1;70.0
Cc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1-c1ccc(CN2CCN(Cc3ccncc3)CC2)cc1;90.0
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CC4(CCS(=O)(=O)CC4)C3)nc2CC2CCCCC2)c2ccccc12;8.7
CCC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(Cl)c1C;1.1
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cccc(F)c23)cc1O;10.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(C#N)c3)c(Oc3ccc(Cl)cc3C(F)(F)F)s2)cc1;14.975
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1;3.162
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)F)c(Cl)c2)cc1;3.162
Cc1ccc(N(CC(C)C)S(=O)(=O)c2ccc(OCc3ccncc3)cc2)c(C)c1;16.0
Cc1ccc(C(NC(=O)Cc2ccc(OCC(O)c3cccnc3C)cc2)c2ccccc2)c(C)c1;1.0
Cc1ccc(C(NC(=O)Cc2ccc3oc(C(O)c4c(C)noc4C)cc3c2)c2ccccc2)c(C)c1;33.0
Cc1cc(Cl)ccc1C(NC(=O)Cc1ccc(OCc2c(C)noc2C)cc1)c1ccc(Cl)cc1;1.0
Cc1cnc(C(CCC(C)C)NC(=O)Cc2ccc3oc(C(O)c4c(C)noc4C)cc3c2)c(C)c1;1.0
Cc1ccc([C@@H](NC(=O)Cc2ccc3oc(C(c4ccncc4)N4CC(N)C4)cc3c2)c2ccccc2)c(C)c1;1.0
Cc1ccc(C(NC(=O)Cc2ccc(N(CC(=O)O)Cc3c(C)noc3C)cc2)c2ccccc2)cc1;1.0
CCn1c2ccccc2c2cc(NC(=O)CC(C)CC(=O)Nc3ccc(C#N)c(Cl)c3)ccc21;11.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(Cl)c(Cl)c3)c(F)c2)CC1;7.0
CC(C)CN(Cc1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1)S(=O)(=O)Cc1ccccc1;6.0
CC(C)CN(Cc1ccc(N2CCC(C#N)CC2)cc1)S(=O)(=O)Cc1ccccc1;96.0
CC(=O)N1CCN(c2ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1;47.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccccc3)cc2)CC1;37.5
CC(=O)N1CCN(c2ccc(CN(C(C)(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1;60.0
CC(=O)N1CCN(c2ccc(CN(C(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1;95.0
CC(=O)N1CCN(c2ccc(CN(CC(F)(F)F)S(=O)(=O)Cc3ccccc3)cc2)CC1;30.0
OC(c1ccncc1)(c1ccc2nc(Cl)c(Cc3ccc(Cl)cc3)c(Cl)c2c1)c1cncs1;6.5
Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(C#N)c(Cc3ccc(-n4cccn4)cc3)c(C#N)c2c1;31.0
COc1nc2ccc(C(O)(c3sc(C)nc3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1;2.5
CC(C)CN(CCc1ccccc1)S(=O)(=O)c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1;37.0
CC(C)CN(Cc1ccccc1)S(=O)(=O)Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1;66.0
CC(C)CN(CCc1ccccc1)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1;51.0
CC(C)CN(Cc1ccccc1)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1F;93.0
CC(C)CN(Cc1ccccc1)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)c(F)c1;51.0
CC(C)CN(CCc1ccccc1)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1F;42.0
CC(C)CN(CCc1ccccc1)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)c(F)c1;41.0
CC(C)CN(Cc1ccccc1Cl)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1;21.0
CC(C)CN(Cc1cccc(Cl)c1)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1;70.0
CC(C)CN(Cc1ccc(Cl)cc1)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1;61.0
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1;34.0
CC(=O)N1CCN(c2ccc(S(=O)(=O)N(Cc3ccccc3C(F)(F)F)CC(C)C)cc2)CC1;9.2
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(NC2CCN(S(C)(=O)=O)CC2)cc1;6.0
CC(C)CN(c1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(NC2CCN(S(C)(=O)=O)CC2)cc1;33.0
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1;6.0
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(C(=O)C2CCN(S(C)(=O)=O)CC2)cc1;7.0
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(C(O)C2CCN(S(C)(=O)=O)CC2)cc1;11.0
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(C=C2CCN(S(C)(=O)=O)CC2)cc1;14.0
CC(C)CN(c1ccccc1F)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1;56.0
CC(C)CN(c1cccc(F)c1)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1;8.0
CC(C)CN(c1ccc(F)cc1)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1;16.0
CC(C)CN(c1ccccc1C#N)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1;21.0
CC(C)CN(c1cccc(C#N)c1)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1;14.0
CC(C)CN(c1ccc(C#N)cc1)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cc1;15.0
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cn1;12.0
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cccnc23)c(F)c1;33.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccccc3)c(F)c2)CC1;15.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccccc3F)c(F)c2)CC1;76.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccccc3F)c(F)c2)CC1;10.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cccc(F)c3)c(F)c2)CC1;65.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3cccc(F)c3)c(F)c2)CC1;25.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccc(F)cc3)c(F)c2)CC1;17.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccccc3Cl)c(F)c2)CC1;55.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccccc3Cl)c(F)c2)CC1;9.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cccc(Cl)c3)c(F)c2)CC1;22.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3cccc(Cl)c3)c(F)c2)CC1;19.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(Cl)cc3)c(F)c2)CC1;92.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccc(Cl)cc3)c(F)c2)CC1;36.5
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cc(Cl)cc(Cl)c3)c(F)c2)CC1;6.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3cc(Cl)cc(Cl)c3)c(F)c2)CC1;29.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cc(F)cc(F)c3)c(F)c2)CC1;49.0
COc1cccc(S(=O)(=O)N(Cc2ccc(N3CCN(C(C)=O)CC3)cc2F)C2CCC2)c1;36.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(C)cc3C)c(F)c2)CC1;24.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(Cl)cc3Cl)c(F)c2)CC1;76.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(OC(F)F)cc3)c(F)c2)CC1;31.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(C(F)(F)F)cc3)c(F)c2)CC1;50.0
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(C(C)(C)C)cc3)c(F)c2)CC1;18.0
CCOc1cc(-c2cc(C(N)=O)ccc2Cl)ccc1N(C)C(=O)c1c(F)cccc1Cl;50.0
CC(C)Oc1cc(-c2cc(C(N)=O)ccc2Cl)ccc1N(C)C(=O)c1c(F)cccc1Cl;54.0
CCCOc1cc(-c2cc(C(N)=O)ccc2Cl)ccc1N(C)C(=O)c1c(F)cccc1Cl;11.0
CCCCOc1cc(-c2cc(C(N)=O)ccc2Cl)ccc1N(C)C(=O)c1c(F)cccc1Cl;22.0
CN(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(C(N)=O)ccc2Cl)cc1OCC(F)(F)F;11.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(C(N)=O)ccc2Cl)cc1OCC(F)(F)F;29.0
CN(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(C(N)=O)ccc2Cl)cc1OCC(F)(F)F;20.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(C(N)=O)ccc2Cl)cc1OCC(F)(F)F;89.0
CN(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(C(N)=O)ccc2Cl)cc1OCC1CCC1;10.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(C(N)=O)ccc2Cl)cc1OCC1CCC1;10.0
CCN(CC)c1cc(-c2cc(C(N)=O)ccc2Cl)ccc1N(C)C(=O)c1c(F)cccc1Cl;3.0
CN(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(C(N)=O)ccc2Cl)cc1N1CCCCC1;3.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cnn(C)c2C(C)C)cc1OCC(F)(F)F;38.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1OCC(F)(F)F;26.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1OCC1CCC1;18.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1OCC(C)C;76.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1OC1CC2CC2C1;54.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1;3.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CCCC1;8.6
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CCCCC1;3.8
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1-c1ccccc1;15.0
CC(=O)Nc1cc(-c2ccc(N(C)C(=O)c3c(F)cccc3Cl)c(N3CC4CC4C3)c2)n(C(C)C)n1;4.9
[2H]C([2H])([2H])N(C(=O)c1c(Cl)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1;3.4
[2H]C([2H])([2H])N(C(=O)c1c(C)cccc1F)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1;4.8
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1;9.2
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC=O)nn2C(C)C)cc1N1CC2CC2C1;4.9
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)CC)nn2C(C)C)cc1N1CC2CC2C1;4.9
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)C3CC3)nn2C(C)C)cc1N1CC2CC2C1;5.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)[C@H]3C[C@H](O)C3)nn2C(C)C)cc1N1CC2CC2C1;12.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)CO)nn2C(C)C)cc1N1CC2CC2C1;3.3
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)CN(C)C)nn2C(C)C)cc1N1CC2CC2C1;70.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)NC)nn2C(C)C)cc1N1CC2CC2C1;6.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)N3CC4(COC4)C3)nn2C(C)C)cc1N1CC2CC2C1;16.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)N3CC(O)C3)nn2C(C)C)cc1N1CC2CC2C1;9.4
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)NCCO)nn2C(C)C)cc1N1CC2CC2C1;18.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)OC(C)C)nn2C(C)C)cc1N1CC2CC2C1;21.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2CCCC2)cc1N1CC2CC2C1;5.1
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2CCC2)cc1N1CC2CC2C1;5.2
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2CC(C)(C)C)cc1N1CC2CC2C1;15.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2COC2)cc1N1CC2CC2C1;40.0
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2CC2CC2)cc1N1CC2CC2C1;6.4
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C2CC2)cc1N1CC2CC2C1;8.4
CC(=O)Nc1cc(-c2cnc(N(C)C(=O)c3c(F)cccc3Cl)c(N3CCCCC3)c2)n(C(C)C)n1;6.2
CC(=O)Nc1nc(C(C)C)c(-c2cnc(N(C)C(=O)c3c(F)cccc3Cl)c(N3CCCCC3)c2)s1;3.2
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1;7.8
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(Oc3ccccc3Cl)s2)cc1;56.295
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(Oc3ccccc3C(F)(F)F)s2)cc1;47.64
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(Oc3ccccc3OC)s2)cc1;63.1
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(Oc3ccc(Cl)cc3)s2)cc1;83.21650000000001
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(Oc3ccc(C(F)(F)F)cc3)s2)cc1;89.22
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(Oc3ccccc3C(F)(F)F)s2)cc1;47.36
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(C#N)c3)c(Oc3ccccc3C(F)(F)F)s2)cc1;31.354999999999997
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(C#N)c3)c(Oc3ccc(C(F)(F)F)cc3Cl)s2)cc1;25.785
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(Cl)ccc3Cl)cs2)cc1;79.43
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3)c(Cl)c2)cc1;15.85
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3Cl)c(Cl)c2)cc1;5.012
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3C(F)(F)F)c(Cl)c2)cc1;7.943
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(C)C)c(Cl)c2)cc1;10.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ncccc3C(F)(F)F)c(Cl)c2)cc1;63.1
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)cc2)cc1;7.943
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(C)c2)cc1;5.012
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(C(F)(F)F)c2)cc1;6.31
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(C(C)=O)c2)cc1;10.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(-c3ccno3)c2)cc1;5.012
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(-c3cncnc3)c2)cc1;3.981
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(C#N)c2)cc1;6.31
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(C)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1;3.981
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1;34.6
CS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1;5.012
NS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1;3.162
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3C#N)c(Cl)c2)cc1;6.31
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccc(F)cc3C#N)c(Cl)c2)cc1;3.981
CS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(F)c2)cc1;10.0
Cc1cc(NC(=O)Cc2ccc(S(C)(=O)=O)cc2)ccc1-c1ccc(Cl)cc1OC(F)(F)F;6.31
CS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(Cl)c2)cc1;7.943
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(Cl)c2)cc1;6.31
O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1c(F)cccc1F;50.0
C[C@H]1CC[C@H](c2ccccc2)S(=O)(=O)N1Cc1ccc(N2CCC3(CC2)C(=O)N(C)C(=O)N3C)cc1F;6.9
C[C@H]1CC[C@H](c2ccccc2)S(=O)(=O)N1Cc1cc(F)c(C(CO)CC2COC2)cc1F;4.0
O=S1(=O)[C@H](c2ccccc2)CCCCN1Cc1cc(F)c(N2C[C@H]3[C@H](n4cnnc4)[C@H]3C2)cc1F;5.0
