molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3
2082458,68.0,%,Imax,CHEMBL3800363,Cc1ccc(CNC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1,68.0,,,
2082459,56.0,%,Imax,CHEMBL3799245,COC(=O)c1ccc(CNC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1,56.0,,,
2082460,71.0,%,Imax,CHEMBL3798227,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(F)cc2)c2cccc(C(F)(F)F)c2)cc1,50.0,92.0,,
2082461,69.0,%,Imax,CHEMBL3798627,COC(=O)c1ccc(NC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1,55.0,83.0,,
2082462,27.5,%,Imax,CHEMBL3800387,COC(=O)c1ccccc1NC(=O)CN(c1cccc(C(F)(F)F)c1)S(=O)(=O)c1ccc(C)cc1,23.0,32.0,,
2082463,40.0,%,Imax,CHEMBL3798358,COC(=O)c1cccc(NC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)c1,40.0,,,
2082464,89.0,%,Imax,CHEMBL3799459,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2cccc(C(=O)O)c2)c2cccc(C(F)(F)F)c2)cc1,89.0,,,
2082465,85.5,%,Imax,CHEMBL3799786,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2cccc(C(F)(F)F)c2)cc1,73.0,98.0,,
2082466,81.5,%,Imax,CHEMBL3800071,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C(N)=O)cc2)c2cccc(C(F)(F)F)c2)cc1,64.0,99.0,,
2082467,65.5,%,Imax,CHEMBL3798862,CC(=O)c1ccc(NC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1,65.0,66.0,,
2082468,91.0,%,Imax,CHEMBL3797968,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(O)cc2)c2cccc(C(F)(F)F)c2)cc1,83.0,99.0,,
2082470,59.5,%,Imax,CHEMBL3799613,COc1ccc(NC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1OC,46.0,73.0,,
2082471,48.0,%,Imax,CHEMBL3799700,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)c2cccc(C(F)(F)F)c2)cc1,18.0,78.0,,
2082472,76.5,%,Imax,CHEMBL3800208,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2ccc(C(F)(F)F)cc2)cc1,57.0,96.0,,
2082473,78.5,%,Imax,CHEMBL3798333,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2ccc(C#N)cc2)cc1,70.0,87.0,,
2082474,76.0,%,Imax,CHEMBL3798928,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2ccc(F)cc2)cc1,63.0,89.0,,
2082475,78.0,%,Imax,CHEMBL3799398,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2ccc(Cl)c(Cl)c2)cc1,58.0,98.0,,
2082476,81.0,%,Imax,CHEMBL3800238,Cc1ccc(N(CC(=O)Nc2ccc(C#N)cc2)S(=O)(=O)c2ccc(F)cc2)cc1,71.0,91.0,,
2082477,78.5,%,Imax,CHEMBL3797671,Cc1ccc(N(CC(=O)Nc2ccc(C#N)cc2)S(=O)(=O)Cc2ccc(F)cc2)cc1,78.0,79.0,,
2082478,71.0,%,Imax,CHEMBL3798354,Cc1ccc(N(CC(=O)Nc2ccc(C#N)cc2)S(=O)(=O)Cc2ccccc2)cc1,71.0,,,
2280625,152.0,%,Imax,CHEMBL4202474,CCn1c(C)c(C)c2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,152.0,,,
