,COMPOUND
633,Compound(1973086)
634,Compound(2839880)
635,Compound(6250841)
636,Compound(950816)
637,Compound(45488231)
638,Compound(3669734)
639,Compound(45488232)
640,Compound(1154857)
641,Compound(1154857)
642,Compound(15993147)
643,Compound(45488233)
644,Compound(2838064)
645,Compound(7292265)
646,Compound(43812461)
647,Compound(44175068)
648,Compound(45488234)
649,Compound(1390937)
650,Compound(5136332)
651,Compound(23793152)
652,Compound(4145592)
653,Compound(45488235)
654,Compound(52942983)
655,Compound(2920889)
656,Compound(5742344)
657,Compound(45488237)
658,Compound(44171281)
659,Compound(4163286)
660,Compound(747032)
661,Compound(3098399)
662,Compound(7110097)
663,Compound(18554108)
664,Compound(2852624)
665,Compound(5292037)
666,Compound(45488238)
667,Compound(1399034)
668,Compound(24073881)
669,Compound(3511094)
670,Compound(45488239)
671,Compound(15578826)
672,Compound(662705)
673,Compound(135461321)
674,Compound(3184561)
675,Compound(23734635)
676,Compound(1787588)
677,Compound(4681625)
678,Compound(45488240)
679,Compound(45488241)
680,Compound(45488242)
681,Compound(749996)
682,Compound(2847171)
683,Compound(12417791)
684,Compound(2863572)
685,Compound(1473122)
686,Compound(135936346)
687,Compound(6487905)
688,Compound(45488244)
689,Compound(672509)
690,Compound(45488245)
691,Compound(52942947)
692,Compound(1067669)
693,Compound(45488246)
694,Compound(135553685)
695,Compound(2890405)
696,Compound(45488247)
697,Compound(3154940)
698,Compound(45488248)
699,Compound(5768583)
700,Compound(5768583)
701,Compound(5233809)
702,Compound(2828787)
703,Compound(45488249)
704,Compound(928772)
705,Compound(826108)
706,Compound(54583908)
707,Compound(45488251)
708,Compound(54582906)
709,Compound(45488252)
710,Compound(3784345)
711,Compound(16194190)
712,Compound(1358552)
713,Compound(2243501)
714,Compound(3752717)
715,Compound(4103922)
716,Compound(2904976)
717,Compound(45488253)
718,Compound(4220105)
719,Compound(4220105)
720,Compound(44171263)
721,Compound(2273357)
722,Compound(44753482)
723,Compound(6617747)
724,Compound(6536132)
725,Compound(4008612)
726,Compound(45488254)
727,Compound(45244959)
728,Compound(74396)
729,Compound(896852)
730,Compound(2992032)
731,Compound(228284)
732,Compound(228284)
733,Compound(45488255)
734,Compound(819052)
735,Compound(2050895)
736,Compound(42743667)
737,Compound(27178171)
738,Compound(3171675)
739,Compound(3925217)
740,Compound(2831841)
741,Compound(22431260)
742,Compound(1398206)
743,Compound(345657)
744,Compound(45488256)
745,Compound(1546587)
746,Compound(3185331)
747,Compound(45488257)
748,Compound(2849221)
749,Compound(45488258)
750,Compound(44655698)
751,Compound(415757)
752,Compound(1261227)
753,Compound(1521658)
754,Compound(45488260)
755,Compound(3138035)
756,Compound(2250188)
757,Compound(3108129)
758,Compound(42738788)
759,Compound(3204897)
760,Compound(2845733)
761,Compound(2846972)
762,Compound(4320814)
763,Compound(1079369)
764,Compound(3103356)
765,Compound(2909508)
766,Compound(4541721)
767,Compound(3116398)
768,Compound(721060)
769,Compound(522080)
770,Compound(823460)
771,Compound(648959)
772,Compound(1241428)
773,Compound(20910343)
774,Compound(45488261)
775,Compound(631488)
776,Compound(304558)
777,Compound(4054775)
778,Compound(45488262)
779,Compound(45488263)
780,Compound(1721773)
781,Compound(1463467)
782,Compound(44662994)
783,Compound(3273404)
784,Compound(416319)
785,Compound(20969180)
786,Compound(3381997)
787,Compound(65043)
788,Compound(18574848)
789,Compound(4148342)
790,Compound(4413619)
791,Compound(3122374)
792,Compound(2047201)
793,Compound(1330474)
794,Compound(4413705)
795,Compound(1907046)
796,Compound(8441907)
797,Compound(3810538)
798,Compound(3129288)
799,Compound(45488264)
800,Compound(1072942)
801,Compound(45166260)
802,Compound(44725869)
803,Compound(45488265)
804,Compound(45248295)
805,Compound(2865236)
806,Compound(3192452)
807,Compound(52940517)
808,Compound(3392688)
809,Compound(45488266)
810,Compound(2857313)
811,Compound(16248721)
812,Compound(3092643)
813,Compound(45488268)
814,Compound(22549261)
815,Compound(16800917)
816,Compound(2728749)
817,Compound(4428090)
818,Compound(42743644)
819,Compound(4288320)
820,Compound(6008813)
821,Compound(4121220)
822,Compound(45181067)
823,Compound(3110997)
824,Compound(3304212)
825,Compound(12005213)
826,Compound(2307909)
827,Compound(3103676)
828,Compound(1254461)
829,Compound(45488269)
830,Compound(42743628)
831,Compound(44171277)
832,Compound(42723448)
833,Compound(1077226)
834,Compound(3926243)
835,Compound(2837334)
836,Compound(45488270)
837,Compound(2790792)
838,Compound(2903301)
839,Compound(45488271)
840,Compound(45488272)
841,Compound(52945382)
842,Compound(5087383)
843,Compound(1349111)
844,Compound(4540491)
845,Compound(2828852)
846,Compound(45488273)
847,Compound(45488274)
848,Compound(2009923)
849,Compound(760371)
850,Compound(760371)
851,Compound(1968984)
852,Compound(45488275)
853,Compound(45488276)
854,Compound(555198)
855,Compound(45488277)
856,Compound(2928525)
857,Compound(4668245)
858,Compound(45488278)
859,Compound(3103335)
860,Compound(3094025)
861,Compound(2988267)
862,Compound(45488279)
863,Compound(659146)
864,Compound(3591990)
865,Compound(2725294)
866,Compound(22549381)
867,Compound(22334093)
868,Compound(3400900)
869,Compound(2828874)
870,Compound(711465)
871,Compound(3106704)
872,Compound(5240705)
873,Compound(45249051)
874,Compound(52940518)
875,Compound(52940518)
876,Compound(2916240)
877,Compound(2846508)
878,Compound(724429)
879,Compound(941067)
880,Compound(1135122)
881,Compound(45170349)
882,Compound(2936195)
883,Compound(16237397)
884,Compound(2879665)
885,Compound(3124198)
886,Compound(45488282)
887,Compound(6617479)
888,Compound(4291732)
889,Compound(3141472)
890,Compound(20867362)
891,Compound(1044182)
892,Compound(1416715)
893,Compound(3467699)
894,Compound(3267786)
895,Compound(776964)
896,Compound(45488283)
897,Compound(5014941)
898,Compound(45488284)
899,Compound(4149614)
900,Compound(2829121)
901,Compound(2909234)
902,Compound(3563955)
903,Compound(21396)
904,Compound(819761)
905,Compound(723526)
906,Compound(1202678)
907,Compound(45488285)
908,Compound(24790246)
909,Compound(45488286)
910,Compound(43816834)
911,Compound(3182895)
912,Compound(16238990)
913,Compound(4311305)
914,Compound(5003907)
915,Compound(737727)
916,Compound(251786)
917,Compound(17312598)
918,Compound(45488289)
919,Compound(12004675)
920,Compound(2927543)
921,Compound(44723726)
922,Compound(234934)
923,Compound(16238992)
924,Compound(16025070)
925,Compound(605506)
926,Compound(2929712)
927,Compound(3461927)
928,Compound(135478023)
929,Compound(42745190)
930,Compound(2863082)
931,Compound(45488290)
932,Compound(45488291)
933,Compound(2239735)
934,Compound(2822943)
935,Compound(2888102)
936,Compound(1370509)
937,Compound(15998007)
938,Compound(3150411)
939,Compound(600062)
940,Compound(2849856)
941,Compound(945268)
942,Compound(16398969)
943,Compound(18389605)
944,Compound(136049438)
945,Compound(793443)
946,Compound(3119109)
947,Compound(16237757)
948,Compound(135438310)
949,Compound(42731776)
950,Compound(681763)
951,Compound(45166779)
952,Compound(45488293)
953,Compound(4313601)
954,Compound(3983721)
955,Compound(414408)
956,Compound(3833883)
957,Compound(42724236)
958,Compound(644740)
959,Compound(45488294)
960,Compound(1184117)
961,Compound(16018552)
962,Compound(2881465)
963,Compound(45488295)
964,Compound(45488296)
965,Compound(135970858)
966,Compound(16671323)
967,Compound(5935546)
968,Compound(45488297)
969,Compound(45488298)
970,Compound(4565441)
971,Compound(45488299)
972,Compound(1271339)
973,Compound(45488300)
974,Compound(983615)
975,Compound(741654)
976,Compound(5763804)
977,Compound(5005195)
978,Compound(45488301)
979,Compound(24818915)
980,Compound(3333905)
981,Compound(6615335)
982,Compound(2860475)
983,Compound(45488302)
984,Compound(45488303)
985,Compound(3292638)
986,Compound(22892021)
987,Compound(9549627)
988,Compound(45488304)
989,Compound(3098016)
990,Compound(3293561)
991,Compound(45488305)
992,Compound(16019222)
993,Compound(1308773)
994,Compound(1742894)
995,Compound(1742894)
996,Compound(5572190)
997,Compound(20851758)
998,Compound(2731037)
999,Compound(2004305)
1000,Compound(3586740)
1001,Compound(2849770)
1002,Compound(44726059)
1003,Compound(30326957)
1004,Compound(45488306)
1005,Compound(942596)
1006,Compound(16015934)
1007,Compound(821975)
1008,Compound(732150)
1009,Compound(135971338)
1010,Compound(1900417)
1011,Compound(45049218)
1012,Compound(3833301)
1013,Compound(3185967)
1014,Compound(52945401)
1015,Compound(22431269)
1016,Compound(16674492)
1017,Compound(45488309)
1018,Compound(4614276)
1019,Compound(2815235)
1020,Compound(2206614)
1021,Compound(4219141)
1022,Compound(45488310)
1023,Compound(45488313)
1024,Compound(233768)
1025,Compound(1417448)
1026,Compound(3147179)
1027,Compound(45488314)
1028,Compound(95996)
1029,Compound(45488315)
1030,Compound(1068794)
1031,Compound(16023974)
1032,Compound(5113385)
1033,Compound(711950)
1034,Compound(5760103)
1035,Compound(5050380)
1036,Compound(20885229)
1037,Compound(45488316)
1038,Compound(4370685)
1039,Compound(44753480)
1040,Compound(18528359)
1041,Compound(45488317)
1042,Compound(4328950)
1043,Compound(6415329)
1044,Compound(6247319)
1045,Compound(2881195)
1046,Compound(2870379)
1047,Compound(45488318)
1048,Compound(45488319)
1049,Compound(1389162)
1050,Compound(4588350)
1051,Compound(3905653)
1052,Compound(45488320)
1053,Compound(45488321)
1054,Compound(45488322)
1055,Compound(1978481)
1056,Compound(2190897)
1057,Compound(42695216)
1058,Compound(2887835)
1059,Compound(3279693)
1060,Compound(4151139)
1061,Compound(5879140)
1062,Compound(5074543)
1063,Compound(741428)
1064,Compound(741428)
1065,Compound(2897388)
1066,Compound(45488324)
1067,Compound(3172786)
1068,Compound(45488325)
1069,Compound(5126627)
1070,Compound(15990148)
1071,Compound(135628755)
1072,Compound(135628755)
1073,Compound(1111435)
1074,Compound(4429955)
1075,Compound(45488326)
1076,Compound(3990273)
1077,Compound(2793031)
1078,Compound(4376915)
1079,Compound(6052782)
1080,Compound(761526)
1081,Compound(45160320)
1082,Compound(1349171)
1083,Compound(3818111)
1084,Compound(45488327)
1085,Compound(3693385)
1086,Compound(1180982)
1087,Compound(695264)
1088,Compound(22334070)
1089,Compound(45488328)
1090,Compound(16011724)
1091,Compound(2882469)
1092,Compound(567942)
1093,Compound(6738070)
1094,Compound(45488329)
1095,Compound(135410432)
1096,Compound(933821)
1097,Compound(740404)
1098,Compound(3176027)
1099,Compound(45488330)
1100,Compound(45488331)
1101,Compound(1822224)
1102,Compound(9808655)
1103,Compound(5061160)
1104,Compound(44169941)
1105,Compound(45488332)
1106,Compound(2863362)
1107,Compound(3217775)
1108,Compound(763277)
1109,Compound(175533)
1110,Compound(42743661)
1111,Compound(45488333)
1112,Compound(22522607)
1113,Compound(6620854)
1114,Compound(4626172)
1115,Compound(135971339)
1116,Compound(3101329)
1117,Compound(746069)
1118,Compound(1988922)
1119,Compound(2868848)
1120,Compound(886879)
1121,Compound(5158191)
1122,Compound(23724234)
1123,Compound(2060459)
1124,Compound(44173515)
1125,Compound(3119592)
1126,Compound(721133)
1127,Compound(3756101)
1128,Compound(45488336)
1129,Compound(45488338)
1130,Compound(3123551)
1131,Compound(3968602)
1132,Compound(5719153)
1133,Compound(9517705)
1134,Compound(619491)
1135,Compound(45488340)
1136,Compound(1037576)
1137,Compound(2983872)
1138,Compound(1483729)
1139,Compound(16029619)
1140,Compound(2874106)
1141,Compound(45250206)
1142,Compound(697184)
1143,Compound(1397021)
1144,Compound(2916366)
1145,Compound(45488341)
1146,Compound(789663)
1147,Compound(789663)
1148,Compound(5219882)
1149,Compound(45488342)
1150,Compound(45488343)
1151,Compound(45488345)
1152,Compound(3217259)
1153,Compound(45488346)
1154,Compound(1416592)
1155,Compound(6401607)
1156,Compound(44512344)
1157,Compound(44171279)
1158,Compound(2848254)
1159,Compound(818877)
1160,Compound(16018309)
1161,Compound(1379855)
1162,Compound(17385245)
1163,Compound(988601)
1164,Compound(2893391)
1165,Compound(3643742)
1166,Compound(1113884)
1167,Compound(6737619)
1168,Compound(647145)
1169,Compound(3158885)
1170,Compound(45488347)
1171,Compound(135498818)
1172,Compound(135498818)
1173,Compound(2903054)
1174,Compound(14889101)
1175,Compound(45488348)
1176,Compound(135410433)
1177,Compound(135496476)
1178,Compound(5967813)
1179,Compound(3822672)
1180,Compound(42743700)
1181,Compound(45488349)
1182,Compound(4234342)
1183,Compound(3097411)
1184,Compound(135477581)
1185,Compound(45488350)
1186,Compound(16670252)
1187,Compound(2058415)
1188,Compound(1917564)
1189,Compound(6372924)
1190,Compound(54580919)
1191,Compound(54580919)
1192,Compound(45488351)
1193,Compound(40855809)
1194,Compound(780973)
1195,Compound(45488352)
1196,Compound(135418013)
1197,Compound(24791869)
1198,Compound(42743578)
1199,Compound(45488353)
1200,Compound(45488354)
1201,Compound(3236093)
1202,Compound(2963717)
1203,Compound(45488355)
1204,Compound(3212840)
1205,Compound(1132315)
1206,Compound(3648641)
1207,Compound(16192857)
1208,Compound(873155)
1209,Compound(20883689)
1210,Compound(44171242)
1211,Compound(2790729)
1212,Compound(1072478)
1213,Compound(1072478)
1214,Compound(45226640)
1215,Compound(1137917)
1216,Compound(4530084)
1217,Compound(987449)
1218,Compound(23741691)
1219,Compound(1351339)
1220,Compound(2812233)
1221,Compound(3105061)
1222,Compound(16815088)
1223,Compound(23904981)
1224,Compound(2908985)
1225,Compound(135512892)
1226,Compound(6738020)
1227,Compound(45107070)
