,COMPOUND
2443,Compound(1081701)
2444,Compound(285506)
2445,Compound(4443791)
2446,Compound(5038663)
2447,Compound(3107654)
2448,Compound(45488600)
2449,Compound(52941775)
2450,Compound(1976277)
2451,Compound(45488602)
2452,Compound(4457686)
2453,Compound(2952131)
2454,Compound(135971352)
2455,Compound(63708)
2456,Compound(5217736)
2457,Compound(45488604)
2458,Compound(10425739)
2459,Compound(1558814)
2460,Compound(135431178)
2461,Compound(6401291)
2462,Compound(2895613)
2463,Compound(597046)
2464,Compound(1108165)
2465,Compound(1100515)
2466,Compound(42711246)
2467,Compound(3165283)
2468,Compound(42720046)
2469,Compound(45488438)
2470,Compound(45488438)
2471,Compound(4683498)
2472,Compound(1105400)
2473,Compound(4033545)
2474,Compound(3539551)
2475,Compound(135971353)
2476,Compound(45488606)
2477,Compound(898984)
2478,Compound(9311270)
2479,Compound(24843577)
2480,Compound(45488607)
2481,Compound(6914728)
2482,Compound(16806333)
2483,Compound(6010442)
2484,Compound(6010442)
2485,Compound(1625344)
2486,Compound(45488608)
2487,Compound(1365760)
2488,Compound(1514491)
2489,Compound(3979147)
2490,Compound(42743657)
2491,Compound(45488609)
2492,Compound(45488610)
2493,Compound(4396232)
2494,Compound(45488611)
2495,Compound(812041)
2496,Compound(2824730)
2497,Compound(3129766)
2498,Compound(13203706)
2499,Compound(1690607)
2500,Compound(45488612)
2501,Compound(288412)
2502,Compound(45488613)
2503,Compound(5923856)
2504,Compound(6383963)
2505,Compound(16465299)
2506,Compound(4095133)
2507,Compound(45488288)
2508,Compound(45488288)
2509,Compound(45488614)
2510,Compound(45488615)
2511,Compound(45488616)
2512,Compound(6296409)
2513,Compound(6296409)
2514,Compound(4593435)
2515,Compound(45488617)
2516,Compound(45166459)
2517,Compound(45488618)
2518,Compound(135893757)
2519,Compound(2208775)
2520,Compound(5189521)
2521,Compound(45488619)
2522,Compound(45488620)
2523,Compound(45488622)
2524,Compound(23602449)
2525,Compound(673609)
2526,Compound(3129242)
2527,Compound(942525)
2528,Compound(27042198)
2529,Compound(2044016)
2530,Compound(45221666)
2531,Compound(45488624)
2532,Compound(3567642)
2533,Compound(17312573)
2534,Compound(45488625)
2535,Compound(19684991)
2536,Compound(2812143)
2537,Compound(2859234)
2538,Compound(862185)
2539,Compound(628020)
2540,Compound(1959630)
2541,Compound(167545)
2542,Compound(45488626)
2543,Compound(1347348)
2544,Compound(44170041)
2545,Compound(1016196)
2546,Compound(3456979)
2547,Compound(135472875)
2548,Compound(2894573)
2549,Compound(3903812)
2550,Compound(16682235)
2551,Compound(2802136)
2552,Compound(865238)
2553,Compound(54581977)
2554,Compound(4163150)
2555,Compound(3128858)
2556,Compound(45488627)
2557,Compound(6174898)
2558,Compound(45488628)
2559,Compound(27271121)
2560,Compound(16682247)
2561,Compound(4224470)
2562,Compound(2933849)
2563,Compound(4061782)
2564,Compound(52942989)
2565,Compound(866779)
2566,Compound(612056)
2567,Compound(2802133)
2568,Compound(16022664)
2569,Compound(135408399)
2570,Compound(943610)
2571,Compound(3978647)
2572,Compound(5308023)
2573,Compound(5332967)
2574,Compound(2859839)
2575,Compound(156473)
2576,Compound(3190871)
2577,Compound(4162928)
2578,Compound(16413496)
2579,Compound(3450139)
2580,Compound(45488629)
2581,Compound(4274300)
2582,Compound(45488630)
2583,Compound(3164064)
2584,Compound(2884479)
2585,Compound(4092875)
2586,Compound(2881805)
2587,Compound(5043404)
2588,Compound(3812294)
2589,Compound(16190456)
2590,Compound(2852978)
2591,Compound(45488631)
2592,Compound(45488632)
2593,Compound(4129895)
2594,Compound(138402)
2595,Compound(1195049)
2596,Compound(17060676)
2597,Compound(945532)
2598,Compound(45488633)
2599,Compound(2895264)
2600,Compound(25242167)
2601,Compound(3132470)
2602,Compound(4485134)
2603,Compound(2765977)
2604,Compound(543980)
2605,Compound(15990165)
2606,Compound(3132567)
2607,Compound(1643514)
2608,Compound(415220)
2609,Compound(1347685)
2610,Compound(45488634)
2611,Compound(45198838)
2612,Compound(10202030)
2613,Compound(22549341)
2614,Compound(1262301)
2615,Compound(1389332)
2616,Compound(16670224)
2617,Compound(874721)
2618,Compound(1631145)
2619,Compound(45488635)
2620,Compound(42724153)
2621,Compound(45488636)
2622,Compound(45488637)
2623,Compound(2871385)
2624,Compound(3940744)
2625,Compound(2914539)
2626,Compound(4493766)
2627,Compound(45234344)
2628,Compound(24102024)
2629,Compound(4522621)
2630,Compound(1922601)
2631,Compound(22549212)
2632,Compound(3101523)
2633,Compound(3188048)
2634,Compound(52946577)
2635,Compound(3948503)
2636,Compound(1718507)
2637,Compound(4540137)
2638,Compound(2897576)
2639,Compound(45225705)
2640,Compound(42715818)
2641,Compound(2800704)
2642,Compound(45488639)
2643,Compound(2807548)
2644,Compound(135408321)
2645,Compound(1156400)
2646,Compound(2942284)
2647,Compound(3146090)
2648,Compound(1130285)
2649,Compound(45226998)
2650,Compound(45488640)
2651,Compound(45488641)
2652,Compound(45488642)
2653,Compound(44169938)
2654,Compound(45488643)
2655,Compound(45488644)
2656,Compound(45488645)
2657,Compound(2897781)
2658,Compound(4402701)
2659,Compound(4087177)
2660,Compound(2730001)
2661,Compound(5112543)
2662,Compound(1445047)
2663,Compound(52946579)
2664,Compound(5090868)
2665,Compound(2808401)
2666,Compound(45488647)
2667,Compound(45488648)
2668,Compound(45488649)
2669,Compound(45488650)
2670,Compound(3100628)
2671,Compound(2913917)
2672,Compound(37369)
2673,Compound(2799644)
2674,Compound(45488652)
2675,Compound(45488653)
2676,Compound(2851255)
2677,Compound(1531863)
2678,Compound(24185504)
2679,Compound(2022184)
2680,Compound(776962)
2681,Compound(45488654)
2682,Compound(5055526)
2683,Compound(605308)
2684,Compound(2863423)
2685,Compound(3257554)
2686,Compound(45488655)
2687,Compound(45488656)
2688,Compound(54581975)
2689,Compound(22511697)
2690,Compound(2846340)
2691,Compound(135971354)
2692,Compound(1391454)
2693,Compound(2145454)
2694,Compound(1116028)
2695,Compound(3315135)
2696,Compound(45127561)
2697,Compound(3705251)
2698,Compound(20873181)
2699,Compound(944640)
2700,Compound(16187885)
2701,Compound(2228008)
2702,Compound(986230)
2703,Compound(4252805)
2704,Compound(44170007)
2705,Compound(4007963)
2706,Compound(45488659)
2707,Compound(2897970)
2708,Compound(4433494)
2709,Compound(45488661)
2710,Compound(45488662)
2711,Compound(135971355)
2712,Compound(2909420)
2713,Compound(3129244)
2714,Compound(54584851)
2715,Compound(680830)
2716,Compound(2731189)
2717,Compound(1169830)
2718,Compound(45488666)
2719,Compound(2795857)
2720,Compound(54728781)
2721,Compound(135971356)
2722,Compound(15311784)
2723,Compound(3213516)
2724,Compound(23734246)
2725,Compound(4623580)
2726,Compound(45488669)
2727,Compound(989047)
2728,Compound(45488670)
2729,Compound(741502)
2730,Compound(45488672)
2731,Compound(45488673)
2732,Compound(45488674)
2733,Compound(52945376)
2734,Compound(3796927)
2735,Compound(2971473)
2736,Compound(1242388)
2737,Compound(23604238)
2738,Compound(1264244)
2739,Compound(4082361)
2740,Compound(45488675)
2741,Compound(3951536)
2742,Compound(135971357)
2743,Compound(16238921)
2744,Compound(2968729)
2745,Compound(1963704)
2746,Compound(2827528)
2747,Compound(4305429)
2748,Compound(3845731)
2749,Compound(42743683)
2750,Compound(45239922)
2751,Compound(783090)
2752,Compound(45488678)
2753,Compound(135971358)
2754,Compound(3131565)
2755,Compound(45183231)
2756,Compound(45488680)
2757,Compound(45488681)
2758,Compound(24650)
2759,Compound(4202483)
2760,Compound(54586792)
2761,Compound(3188282)
2762,Compound(3557745)
2763,Compound(135548995)
2764,Compound(45245330)
2765,Compound(266124)
2766,Compound(2031281)
2767,Compound(45488682)
2768,Compound(825746)
2769,Compound(2975401)
2770,Compound(2920300)
2771,Compound(135971359)
2772,Compound(7122328)
2773,Compound(101965)
2774,Compound(3089339)
2775,Compound(54585820)
2776,Compound(2909439)
2777,Compound(45195383)
2778,Compound(984666)
2779,Compound(696591)
2780,Compound(42743666)
2781,Compound(2857612)
2782,Compound(15990233)
2783,Compound(2851036)
2784,Compound(939150)
2785,Compound(4271220)
2786,Compound(3160767)
2787,Compound(1416598)
2788,Compound(15989993)
2789,Compound(42750524)
2790,Compound(911071)
2791,Compound(3123554)
2792,Compound(2895120)
2793,Compound(45488685)
2794,Compound(3565793)
2795,Compound(44170379)
2796,Compound(2903294)
2797,Compound(16957501)
2798,Compound(20967438)
2799,Compound(45488686)
2800,Compound(3132482)
2801,Compound(413634)
2802,Compound(180548)
2803,Compound(2863934)
2804,Compound(2851937)
2805,Compound(45488687)
2806,Compound(3929401)
2807,Compound(3190882)
2808,Compound(1049791)
2809,Compound(4590403)
2810,Compound(22421810)
2811,Compound(45225187)
2812,Compound(1150766)
2813,Compound(45488688)
2814,Compound(45196938)
2815,Compound(45193552)
2816,Compound(962627)
2817,Compound(5719460)
2818,Compound(135554060)
2819,Compound(4035396)
2820,Compound(22549317)
2821,Compound(45488689)
2822,Compound(135410420)
2823,Compound(2939845)
2824,Compound(45166174)
2825,Compound(42724725)
2826,Compound(6738050)
2827,Compound(45488690)
2828,Compound(2795848)
2829,Compound(4321852)
2830,Compound(699431)
2831,Compound(45488691)
2832,Compound(3229974)
2833,Compound(5711842)
2834,Compound(24207004)
2835,Compound(42743571)
2836,Compound(45488693)
2837,Compound(872969)
2838,Compound(3103193)
2839,Compound(6603137)
2840,Compound(16024864)
2841,Compound(717731)
2842,Compound(3132561)
2843,Compound(45488694)
2844,Compound(4295881)
2845,Compound(45164353)
2846,Compound(227114)
2847,Compound(16443645)
2848,Compound(988441)
2849,Compound(4198869)
2850,Compound(135971360)
2851,Compound(2840651)
2852,Compound(45488697)
2853,Compound(16011962)
2854,Compound(135971361)
2855,Compound(16239968)
2856,Compound(3124417)
2857,Compound(3864709)
2858,Compound(135408185)
2859,Compound(3125509)
2860,Compound(4520743)
2861,Compound(16016570)
2862,Compound(1896482)
2863,Compound(4552306)
2864,Compound(3315303)
2865,Compound(45488699)
2866,Compound(3132583)
2867,Compound(44170002)
2868,Compound(23602316)
2869,Compound(3238689)
2870,Compound(1382506)
2871,Compound(2906981)
2872,Compound(122234)
2873,Compound(122234)
2874,Compound(45488700)
2875,Compound(666359)
2876,Compound(45488701)
2877,Compound(2227970)
2878,Compound(24997038)
2879,Compound(45488702)
2880,Compound(45488703)
2881,Compound(224185)
2882,Compound(3732278)
2883,Compound(45162228)
2884,Compound(45488704)
2885,Compound(784432)
2886,Compound(902034)
2887,Compound(1069666)
2888,Compound(42709741)
2889,Compound(45488705)
2890,Compound(914500)
2891,Compound(6006293)
2892,Compound(3216503)
2893,Compound(6616406)
2894,Compound(7267446)
2895,Compound(42723169)
2896,Compound(1486683)
2897,Compound(45488706)
2898,Compound(3090761)
2899,Compound(4027977)
2900,Compound(775940)
2901,Compound(22310280)
2902,Compound(3147850)
2903,Compound(45488707)
2904,Compound(2855062)
2905,Compound(4621014)
2906,Compound(45488708)
2907,Compound(45488709)
2908,Compound(45488710)
2909,Compound(45488711)
2910,Compound(793398)
2911,Compound(22522626)
2912,Compound(3839870)
2913,Compound(2927542)
2914,Compound(45488712)
2915,Compound(45488713)
2916,Compound(728773)
2917,Compound(45488714)
2918,Compound(4041584)
2919,Compound(2797465)
2920,Compound(4083690)
2921,Compound(3238076)
2922,Compound(45488715)
2923,Compound(1362208)
2924,Compound(3601780)
2925,Compound(1823125)
2926,Compound(45488716)
2927,Compound(6163009)
2928,Compound(45488717)
2929,Compound(3217256)
2930,Compound(2924665)
2931,Compound(17741612)
2932,Compound(3090767)
2933,Compound(45488718)
2934,Compound(3636648)
2935,Compound(5026327)
2936,Compound(3490860)
2937,Compound(5009998)
2938,Compound(17558915)
2939,Compound(45488719)
2940,Compound(732151)
2941,Compound(77227)
2942,Compound(340280)
2943,Compound(4647924)
2944,Compound(4349773)
2945,Compound(45488720)
2946,Compound(45488721)
2947,Compound(45488722)
2948,Compound(742450)
2949,Compound(572788)
2950,Compound(24761407)
2951,Compound(24761407)
2952,Compound(2810875)
2953,Compound(3156672)
2954,Compound(45488723)
2955,Compound(22549346)
2956,Compound(3106269)
2957,Compound(913304)
2958,Compound(45488724)
2959,Compound(16020136)
2960,Compound(607386)
2961,Compound(42743695)
2962,Compound(45488725)
2963,Compound(45488726)
2964,Compound(42733092)
2965,Compound(11180907)
2966,Compound(721010)
2967,Compound(3133345)
2968,Compound(3229919)
2969,Compound(2859221)
2970,Compound(4026418)
2971,Compound(45488727)
2972,Compound(2834409)
2973,Compound(5287365)
2974,Compound(133712)
2975,Compound(42743576)
2976,Compound(729128)
2977,Compound(4257539)
2978,Compound(2888431)
2979,Compound(3556515)
2980,Compound(5877616)
2981,Compound(42743588)
2982,Compound(42743597)
2983,Compound(3102567)
2984,Compound(45488728)
2985,Compound(3544576)
2986,Compound(54585821)
2987,Compound(42732588)
2988,Compound(45488730)
2989,Compound(4064931)
2990,Compound(3104143)
2991,Compound(135971362)
2992,Compound(52942988)
2993,Compound(2924225)
2994,Compound(830744)
2995,Compound(45488733)
2996,Compound(15644588)
2997,Compound(3921093)
2998,Compound(4578622)
2999,Compound(3241156)
3000,Compound(1567207)
3001,Compound(3177315)
3002,Compound(2173684)
3003,Compound(45488734)
3004,Compound(45204534)
3005,Compound(13370798)
3006,Compound(45488735)
3007,Compound(40538649)
3008,Compound(42720132)
3009,Compound(1108087)
3010,Compound(45488736)
3011,Compound(3139690)
3012,Compound(45488737)
3013,Compound(4572644)
3014,Compound(3092398)
3015,Compound(3025189)
3016,Compound(3615209)
3017,Compound(18572333)
3018,Compound(2818547)
3019,Compound(16015353)
3020,Compound(674547)
3021,Compound(2789227)
3022,Compound(765541)
3023,Compound(45488738)
3024,Compound(5056778)
3025,Compound(1570433)
3026,Compound(45186202)
3027,Compound(3115283)
3028,Compound(42724729)
3029,Compound(45105982)
3030,Compound(3427044)
3031,Compound(777642)
3032,Compound(45488739)
3033,Compound(5074523)
3034,Compound(7572)
3035,Compound(252879)
3036,Compound(42732388)
3037,Compound(5766205)
3038,Compound(4169706)
3039,Compound(1992044)
3040,Compound(3420703)
3041,Compound(1483559)
3042,Compound(2427691)
3043,Compound(3151836)
3044,Compound(42739082)
3045,Compound(45488740)
3046,Compound(42876)
3047,Compound(45488742)
3048,Compound(45488743)
3049,Compound(22511795)
3050,Compound(816022)
3051,Compound(30983457)
3052,Compound(22423794)
3053,Compound(1182675)
3054,Compound(2928555)
3055,Compound(52941784)
3056,Compound(244183)
3057,Compound(3128624)
3058,Compound(840043)
3059,Compound(2764493)
3060,Compound(42743682)
3061,Compound(20860781)
3062,Compound(45488745)
3063,Compound(723600)
3064,Compound(52944149)
3065,Compound(2972545)
3066,Compound(135441861)
3067,Compound(1650337)
3068,Compound(45488746)
3069,Compound(2974081)
3070,Compound(45488747)
3071,Compound(1015540)
3072,Compound(5766679)
3073,Compound(550627)
3074,Compound(45488748)
3075,Compound(45488749)
3076,Compound(3963387)
3077,Compound(45488750)
3078,Compound(45488752)
3079,Compound(45488753)
3080,Compound(4413618)
3081,Compound(3814649)
3082,Compound(45488754)
3083,Compound(135521819)
3084,Compound(45488756)
3085,Compound(5188724)
3086,Compound(42723415)
3087,Compound(728339)
3088,Compound(4662101)
3089,Compound(3218129)
3090,Compound(45488757)
3091,Compound(4059376)
3092,Compound(798324)
3093,Compound(2453251)
3094,Compound(44170434)
3095,Compound(45488758)
3096,Compound(16235791)
3097,Compound(44169990)
3098,Compound(957563)
3099,Compound(2368854)
3100,Compound(1725451)
3101,Compound(42724199)
3102,Compound(11836869)
3103,Compound(3111643)
3104,Compound(45488759)
3105,Compound(45488760)
3106,Compound(3827843)
3107,Compound(3285956)
3108,Compound(22333766)
3109,Compound(45489197)
3110,Compound(45489197)
3111,Compound(22421539)
3112,Compound(45488762)
3113,Compound(531396)
3114,Compound(45488764)
3115,Compound(24023198)
3116,Compound(52949075)
3117,Compound(45488765)
3118,Compound(4658564)
3119,Compound(3793001)
3120,Compound(1309051)
3121,Compound(45488766)
3122,Compound(4102742)
3123,Compound(2869349)
3124,Compound(1069984)
3125,Compound(5748926)
3126,Compound(4449392)
3127,Compound(7202454)
3128,Compound(704977)
3129,Compound(795858)
3130,Compound(3123277)
3131,Compound(9551446)
3132,Compound(45488767)
3133,Compound(3089427)
3134,Compound(45488768)
3135,Compound(135463172)
3136,Compound(6271687)
3137,Compound(135424187)
3138,Compound(42723396)
3139,Compound(2870783)
3140,Compound(4692506)
3141,Compound(2878567)
3142,Compound(4317419)
3143,Compound(886826)
3144,Compound(3882725)
3145,Compound(682662)
3146,Compound(4439751)
3147,Compound(16806916)
3148,Compound(3094228)
3149,Compound(3133073)
3150,Compound(3099072)
3151,Compound(2910633)
3152,Compound(297912)
3153,Compound(16011712)
3154,Compound(9884251)
3155,Compound(3146083)
3156,Compound(135971363)
3157,Compound(42723406)
3158,Compound(2902809)
3159,Compound(26458299)
3160,Compound(3491612)
3161,Compound(17159068)
3162,Compound(2894157)
3163,Compound(3244587)
3164,Compound(4135020)
3165,Compound(3826960)
3166,Compound(4683139)
3167,Compound(135512892)
3168,Compound(23742374)
3169,Compound(3156400)
3170,Compound(6616740)
3171,Compound(3741519)
3172,Compound(4457090)
3173,Compound(726776)
3174,Compound(5165162)
3175,Compound(45488770)
3176,Compound(135971364)
3177,Compound(770115)
3178,Compound(16011710)
3179,Compound(45488772)
3180,Compound(3262159)
3181,Compound(3172816)
3182,Compound(4651119)
3183,Compound(45488773)
3184,Compound(781022)
3185,Compound(16011601)
3186,Compound(28104763)
3187,Compound(2830296)
3188,Compound(4356161)
3189,Compound(4566718)
3190,Compound(3158232)
3191,Compound(3900823)
3192,Compound(3136118)
3193,Compound(1298809)
3194,Compound(45488774)
3195,Compound(3583664)
3196,Compound(2870155)
3197,Compound(3371290)
3198,Compound(903258)
3199,Compound(45488775)
3200,Compound(45488776)
3201,Compound(45192925)
3202,Compound(4573226)
3203,Compound(3498819)
3204,Compound(45488777)
3205,Compound(16806594)
3206,Compound(1059350)
3207,Compound(45488778)
3208,Compound(834576)
3209,Compound(4346617)
3210,Compound(3241249)
3211,Compound(1646169)
3212,Compound(3451019)
3213,Compound(4177890)
3214,Compound(45488779)
3215,Compound(4439983)
3216,Compound(135527707)
3217,Compound(42743609)
3218,Compound(45488781)
3219,Compound(3136113)
3220,Compound(45488782)
3221,Compound(16033711)
3222,Compound(45488783)
3223,Compound(607323)
3224,Compound(45488784)
3225,Compound(5322296)
3226,Compound(45488785)
3227,Compound(713555)
3228,Compound(45488787)
3229,Compound(3183558)
3230,Compound(45488788)
3231,Compound(1454941)
3232,Compound(5131768)
3233,Compound(42743663)
3234,Compound(45488789)
3235,Compound(5038067)
3236,Compound(4225065)
3237,Compound(45488790)
3238,Compound(45488792)
3239,Compound(17060588)
3240,Compound(768407)
3241,Compound(21120338)
3242,Compound(22513474)
3243,Compound(45488793)
3244,Compound(3099285)
3245,Compound(45488794)
3246,Compound(2204326)
3247,Compound(24207713)
3248,Compound(2741756)
3249,Compound(2864482)
3250,Compound(4411107)
3251,Compound(844403)
3252,Compound(135460396)
3253,Compound(44656571)
3254,Compound(4061280)
3255,Compound(5291951)
3256,Compound(45488795)
3257,Compound(71719644)
3258,Compound(6764)
3259,Compound(4345601)
3260,Compound(3090762)
3261,Compound(3172669)
3262,Compound(4996516)
3263,Compound(1237027)
3264,Compound(16190307)
3265,Compound(42743021)
3266,Compound(5756554)
3267,Compound(5756554)
3268,Compound(5756554)
3269,Compound(1381808)
3270,Compound(3905635)
3271,Compound(91790)
3272,Compound(45488796)
3273,Compound(16801169)
3274,Compound(1635460)
3275,Compound(4412883)
3276,Compound(1049842)
3277,Compound(1567986)
3278,Compound(114771)
3279,Compound(4274157)
3280,Compound(2790544)
3281,Compound(2854398)
3282,Compound(135440751)
3283,Compound(135440751)
3284,Compound(2921071)
3285,Compound(1217105)
3286,Compound(42709748)
3287,Compound(1382508)
3288,Compound(3185926)
3289,Compound(2970457)
3290,Compound(2790769)
3291,Compound(4212097)
3292,Compound(45488797)
3293,Compound(135957566)
3294,Compound(135957566)
3295,Compound(45488798)
3296,Compound(42743615)
3297,Compound(45488799)
3298,Compound(5289679)
3299,Compound(3132754)
3300,Compound(2063504)
3301,Compound(2999531)
3302,Compound(5240300)
3303,Compound(45488800)
3304,Compound(22551945)
3305,Compound(890908)
3306,Compound(839899)
3307,Compound(45488801)
3308,Compound(16003688)
3309,Compound(3165931)
3310,Compound(4652475)
3311,Compound(94920)
3312,Compound(45488802)
3313,Compound(16187234)
3314,Compound(45488803)
3315,Compound(743975)
3316,Compound(2747573)
3317,Compound(42722239)
3318,Compound(45488804)
3319,Compound(5766001)
3320,Compound(5766001)
3321,Compound(45488805)
3322,Compound(45488806)
3323,Compound(2956608)
3324,Compound(1625999)
3325,Compound(1625999)
3326,Compound(45173229)
3327,Compound(998023)
3328,Compound(5357491)
3329,Compound(45488807)
3330,Compound(3179248)
3331,Compound(2836198)
3332,Compound(42723387)
3333,Compound(42743699)
3334,Compound(12377995)
3335,Compound(22330394)
3336,Compound(18552837)
3337,Compound(2225836)
3338,Compound(135957481)
3339,Compound(45488809)
3340,Compound(5761072)
3341,Compound(45488810)
3342,Compound(177175)
3343,Compound(42740783)
3344,Compound(3258558)
3345,Compound(1147789)
3346,Compound(1100059)
3347,Compound(1106547)
3348,Compound(45488811)
3349,Compound(689303)
3350,Compound(16668047)
3351,Compound(523184)
3352,Compound(3418933)
3353,Compound(5718631)
3354,Compound(2824733)
3355,Compound(2824733)
3356,Compound(2977406)
3357,Compound(21204392)
3358,Compound(3152523)
3359,Compound(3098890)
3360,Compound(706657)
3361,Compound(2796079)
3362,Compound(45488812)
3363,Compound(3536307)
3364,Compound(51196)
3365,Compound(9849276)
3366,Compound(4343528)
3367,Compound(5640482)
3368,Compound(22548364)
3369,Compound(2836167)
3370,Compound(15993142)
3371,Compound(3101925)
3372,Compound(3432697)
3373,Compound(3245435)
3374,Compound(6615342)
3375,Compound(4294635)
3376,Compound(42718651)
3377,Compound(783096)
3378,Compound(42743572)
3379,Compound(42723451)
3380,Compound(42724251)
3381,Compound(45488813)
3382,Compound(1428906)
3383,Compound(45238997)
3384,Compound(2884217)
3385,Compound(45488814)
3386,Compound(2865069)
3387,Compound(45210567)
3388,Compound(4158577)
3389,Compound(16671026)
3390,Compound(4127365)
3391,Compound(3170899)
3392,Compound(45488815)
3393,Compound(5752848)
3394,Compound(5286531)
3395,Compound(45488816)
3396,Compound(135642562)
3397,Compound(45488817)
3398,Compound(45488818)
3399,Compound(5717571)
3400,Compound(4129728)
3401,Compound(45488819)
3402,Compound(5882771)
3403,Compound(5882771)
3404,Compound(52941770)
3405,Compound(45167815)
3406,Compound(42743627)
3407,Compound(45488821)
3408,Compound(42723409)
3409,Compound(4251281)
3410,Compound(45488822)
3411,Compound(3141422)
3412,Compound(3877824)
3413,Compound(3551058)
3414,Compound(135422660)
3415,Compound(2726539)
3416,Compound(3861211)
3417,Compound(1400780)
3418,Compound(45247427)
3419,Compound(45219334)
3420,Compound(22549362)
3421,Compound(2957363)
3422,Compound(1195050)
3423,Compound(45488823)
3424,Compound(20880427)
3425,Compound(45488824)
3426,Compound(2853230)
3427,Compound(45488825)
3428,Compound(4674740)
3429,Compound(135927000)
3430,Compound(4082824)
3431,Compound(1070634)
3432,Compound(45488827)
3433,Compound(45488828)
3434,Compound(11839367)
3435,Compound(3900110)
3436,Compound(2203667)
3437,Compound(6411170)
3438,Compound(2888798)
3439,Compound(22431619)
3440,Compound(45488830)
3441,Compound(45488831)
3442,Compound(3916824)
3443,Compound(2495854)
3444,Compound(45252427)
3445,Compound(42743595)
3446,Compound(42743586)
3447,Compound(24188418)
3448,Compound(707153)
3449,Compound(419648)
3450,Compound(17312606)
3451,Compound(951478)
3452,Compound(2835347)
3453,Compound(42743664)
3454,Compound(414763)
3455,Compound(45215376)
3456,Compound(4593516)
3457,Compound(45488832)
3458,Compound(16023100)
3459,Compound(6615750)
3460,Compound(4207389)
3461,Compound(2948608)
3462,Compound(42743584)
3463,Compound(4114712)
3464,Compound(3745237)
3465,Compound(3190872)
3466,Compound(2895446)
3467,Compound(16192593)
3468,Compound(45488833)
3469,Compound(5061087)
3470,Compound(52945375)
3471,Compound(506591)
3472,Compound(135971365)
3473,Compound(22549209)
3474,Compound(17060585)
3475,Compound(45488835)
3476,Compound(415221)
3477,Compound(3921729)
3478,Compound(3132535)
3479,Compound(5083540)
3480,Compound(22549207)
3481,Compound(45488838)
3482,Compound(3217261)
3483,Compound(4313692)
3484,Compound(45488839)
3485,Compound(665017)
3486,Compound(2863953)
3487,Compound(5216219)
3488,Compound(2858574)
3489,Compound(2812226)
3490,Compound(22549205)
3491,Compound(17060612)
3492,Compound(5291593)
3493,Compound(1190584)
3494,Compound(6485633)
3495,Compound(45488840)
3496,Compound(415088)
3497,Compound(3107899)
3498,Compound(3118289)
3499,Compound(45488841)
3500,Compound(182792)
3501,Compound(2840340)
3502,Compound(415084)
3503,Compound(52947798)
3504,Compound(3098377)
3505,Compound(1098689)
3506,Compound(6485642)
3507,Compound(5649)
3508,Compound(15990445)
3509,Compound(3122520)
3510,Compound(45488843)
3511,Compound(22549213)
3512,Compound(3457140)
3513,Compound(21149911)
3514,Compound(15998601)
3515,Compound(42743568)
3516,Compound(714467)
3517,Compound(42720236)
3518,Compound(45488844)
3519,Compound(45488845)
3520,Compound(52947790)
3521,Compound(2929865)
3522,Compound(3132478)
3523,Compound(45488847)
3524,Compound(6621935)
3525,Compound(15995590)
3526,Compound(2809888)
3527,Compound(2854742)
3528,Compound(43811954)
3529,Compound(413631)
3530,Compound(2863771)
3531,Compound(45488848)
3532,Compound(17060658)
3533,Compound(3649435)
3534,Compound(22549401)
3535,Compound(2812221)
3536,Compound(45202094)
3537,Compound(2866453)
3538,Compound(45488849)
3539,Compound(3132451)
3540,Compound(5253933)
3541,Compound(3190888)
3542,Compound(4344193)
3543,Compound(3844434)
3544,Compound(4659739)
3545,Compound(2795830)
3546,Compound(10297043)
3547,Compound(6615744)
3548,Compound(44171235)
3549,Compound(3270376)
3550,Compound(45488851)
3551,Compound(2225160)
3552,Compound(2971535)
3553,Compound(16474433)
3554,Compound(4033433)
3555,Compound(45488852)
3556,Compound(45488854)
3557,Compound(1190547)
3558,Compound(45488855)
3559,Compound(2864980)
3560,Compound(706690)
3561,Compound(45488856)
3562,Compound(135971366)
3563,Compound(45488857)
3564,Compound(1247719)
3565,Compound(2462694)
3566,Compound(3122059)
3567,Compound(3797792)
3568,Compound(2817744)
3569,Compound(5803358)
3570,Compound(5803358)
3571,Compound(3132570)
3572,Compound(3132546)
3573,Compound(45488859)
3574,Compound(44171218)
3575,Compound(3437550)
3576,Compound(45488860)
3577,Compound(705887)
3578,Compound(3090591)
3579,Compound(5009928)
3580,Compound(42743703)
3581,Compound(416387)
3582,Compound(52947799)
3583,Compound(135971367)
3584,Compound(4546310)
3585,Compound(135971368)
3586,Compound(2848258)
3587,Compound(4994807)
3588,Compound(5013889)
3589,Compound(2914327)
3590,Compound(22549204)
3591,Compound(16474430)
3592,Compound(2864854)
3593,Compound(3533471)
3594,Compound(135882216)
3595,Compound(45488863)
3596,Compound(4333066)
3597,Compound(45488864)
3598,Compound(45488865)
3599,Compound(45488866)
3600,Compound(45488867)
3601,Compound(53396724)
3602,Compound(45488868)
3603,Compound(705510)
3604,Compound(2855218)
3605,Compound(1060648)
3606,Compound(3875003)
3607,Compound(45488869)
3608,Compound(5228699)
3609,Compound(2802137)
3610,Compound(1981060)
3611,Compound(2783484)
3612,Compound(45049612)
3613,Compound(11921403)
3614,Compound(3132496)
3615,Compound(2728270)
3616,Compound(2795984)
3617,Compound(45488870)
3618,Compound(45488871)
