SMILES,target_0,target_1,target_2
C1=CC(=CC=C1C2=CSC(=N2)CO)[N+](=O)[O-],4270.0,,
C1=CC(=CC=C1C2=CSC(=N2)NC(=O)NCCCCCCNC(=O)NC3=NC(=CS3)C4=CC=C(C=C4)F)F,5060.0,,
C1=CC(=CC=C1C2=CSC3=NC=NC(=C23)NCC4=CC=NC=C4)Cl,746.0,,
C1=CC(=CC=C1C2=NC3=C(C=NN3C(=C2)C(F)(F)F)C(=O)NC4=C(C=CC(=C4)Cl)O)F,2914.0,,
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)N)N,234.0,,
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N)N,55.6,,
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)CC4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)N)N,63.4,,
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC=C(C=C4)Br)NC(=O)C5=CC=C(C=C5)Br,413.0,,
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC=C(C=C4)Cl)NC(=O)C5=CC=C(C=C5)Cl,12500.0,,
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC=C(O4)Br)NC(=O)C5=CC=C(O5)Br,709.0,,
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)OC4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)N)N,357.0,,
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=N3)Cl)Cl,1248.0,,
C1=CC(=CC=C1C2=NC3=C(N2)C=CC(=C3)OC4=CC=C(C=C4)OC5=CC6=C(C=C5)NC(=N6)C7=CC=C(C=C7)N)N,246.5,,
C1=CC(=CC=C1C2=NC3=C(O2)C=CC(=C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-])I,2204.0,,
C1=CC(=CC=C1C2=NOC(=N2)C3=C(N(N=C3)C4=CC=C(C=C4)[N+](=O)[O-])C(F)(F)F)Cl,26.73,,
C1=CC(=CC=C1C=C2C(=O)NC(=S)N2)C(F)(F)F,1918.0,,
C1=CC(=CC=C1C=CC2=NC3=C(N2)C=C(C=C3)N)Cl,121.5,,
C1=CC(=CC=C1C=NC2=CC=C(C=C2)C3=NC4=C(N3)C=CC(=C4)C5=CC6=C(C=C5)NC(=N6)C7=CC=C(C=C7)N=CC8=CC=C(C=C8)Br)Br,647.0,,
C1=CC(=CC=C1C=NN/C(=N/N=CC2=CC=C(C=C2)[N+](=O)[O-])/N)[N+](=O)[O-],271.0,,
C1=CC(=CC=C1C=NNC2=CC=C(C=C2)[N+](=O)[O-])C(=O)O,1250.0,,
C1=CC(=CC=C1CC(=O)NNS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-])Cl,1370.0,,
C1=CC(=CC=C1CC(C(=O)O)NS(=O)(=O)C2=CC=C(C=C2)OC(F)(F)F)[N+](=O)[O-],3.29,,
C1=CC(=CC=C1CCC2=CN=C3C(=N2)C(=NC(=N3)N)N)C(=O)N[C@H](CCC(=O)O)C(=O)O,1.7790000000000001,,
C1=CC(=CC=C1CNC(=S)NC2=C(C=CC(=C2)Cl)Cl)C#N,237.7,,
C1=CC(=CC=C1CNC2=C3C=CC(=CC3=NC=C2)Cl)F,881.0,,
C1=CC(=CC=C1CNC2=CN=CC(=C2)C3=CC=C(C=C3)O)Cl,405.0,,
C1=CC(=CC=C1CSC2=NN=NN2C3=CC=C(C=C3)C(=O)N)Cl,12500.0,,
C1=CC(=CC=C1F)S(=O)(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl,713.0,,
C1=CC(=CC=C1N)NC2=CC=C(C=C2)N,711.0,,
C1=CC(=CC=C1N/C=C/C(=O)C2=CC=C(S2)Cl)S(=O)(=O)N,1250.0,,
C1=CC(=CC=C1N2C(=O)C=CC2=O)SC3=CC=C(C=C3)N4C(=O)C=CC4=O,1250.0,,
C1=CC(=CC=C1NC(=N[N+](=O)[O-])N)NC(=O)NC2=CC=C(C=C2)Cl,297.7,,
C1=CC(=CC=C1NC(=O)CCl)Cl,342.0,,
C1=CC(=CC=C1NC(=O)CCl)OC(F)F,161.9,,
C1=CC(=CC=C1NC(=O)CCl)S(=O)(=O)OCC(C(F)F)(F)F,1580.0,,
C1=CC(=CC=C1NC(=O)NC2=NC=C(C=C2)Br)Cl,712.0,,
C1=CC(=CC=C1NC2=C3C=CC(=CC3=NC=C2)Cl)O,3520.0,,
C1=CC(=CC=C1NC2=NC(=NC(=N2)OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)F,1567.0,,
C1=CC(=CC=C1OCC(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl)Cl,302.8,,
C1=CC(=CC=C1S(=O)(=O)NC2=C(SC=C2)C#N)Cl,413.0,,
C1=CC(=CC=C1S(=O)(=O)NNC(=O)CS(=O)(=O)C2=NC=C(C=C2)C(F)(F)F)Cl,26.73,,
C1=CC(=CC=C1SCCC2=NN=C(S2)N)Cl,1250.0,,
C1=CC(=CC=C1SCCCl)SC2=CC=C(C=C2)SCCCl,2125.0,,
C1=CC(=CC=C1[N+](=O)[O-])OCCOC(=O)C2=CC=C(O2)Br,1250.0,,
C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl,275.4,,
C1=CC(=CN=C1)C(C(=O)NCC(=O)O)N2[C@H](C(=O)NC3=C(C2=O)C=C(C=C3)O)CCCCN,6.3,,
C1=CC(=CN=C1)C2=CC(=NC(=N2)C3=CC=NC=C3)NCCCN4C=CN=C4,956.0,,
C1=CC(=CN=C1)C2=NC(=NC=C2C3=NC=CN=C3)C4=CN=CC=C4,374.0,,
C1=CC(=CN=C1)C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)NC4=CN=CC=C4,2138.0,,
C1=CC(=CN=C1)C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)NC4=NC=CS4,10430.0,,
C1=CC(=CN=C1)C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)NC4=NOC=C4,2512.0,,
C1=CC(=CN=C1)C2=NC3=C(C=C(C=C3)Cl)C(=C2)C(=O)NC4=CN=CC=C4,12500.0,,
C1=CC(=CN=C1)C2=NC3=C(C=C(C=C3)Cl)C(=C2)C(=O)NC4=NOC=C4,606.0,,
C1=CC(=CN=C1)C2=NC3=C(C=C2)C(=C(S3)C(=O)C4=CC=C(C=C4)Br)N,1091.0,,
C1=CC(=CN=C1)C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)N=C(N5)C6=CN=CC=C6,1287.0,,
